Product URL,Product Name,Product Price,Rating,Number of Reviews
/Kleeno-Cello-Clean-Garbage-Medium/dp/B09C284CTH,Kleeno by cello OXO - Biodegradable Garbage Bags Medium Size 48 cm x 53 cm 2 Pouch 30 Bags Dustbin Bag/Trash Bag,84,4.0 out of 5 stars,2
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDCGCPK,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 3, Green, For Wet Waste)",189,4.3 out of 5 stars,636
/Corduroy-Reusable-Shopping-Washable-Shoulder/dp/B0BNX437F8,PALAY® Tote Bags For Women Bag Corduroy Large Capacity Reusable Shopping Bag Washable Shoulder Bags HandBags for School Work Shopping Travel Daily Use Grocery,488,4.3 out of 5 stars,101
/ASUS-VP4700-Backpack-Reflective-Suitable/dp/B0937G637K,"ASUS TUF Gaming VP4700 46.5 cm X 30.0 cm X13.0 cm Backpack (Black), with Roll-Up Design, Reflective Logo, Suitable for up to 46.5 cm Laptop","1,699",4.0 out of 5 stars,111
/Stylbase-Trends-Polyester-Character-Embossed/dp/B0BNL2PBPH,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",551,4.0 out of 5 stars,213
/SPENZ-BAGS-Backpack-Raincover-Mahogany-Brown/dp/B0C3RN6QSC,"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",829,3.9 out of 5 stars,245
/DZert-Polyester-Black-White-Backpack/dp/B07GXX2BP3,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black,339,3.8 out of 5 stars,"2,612"
/AirCase-C24-Messenger-Shoulder-Compartments/dp/B07Y3DB5YZ,"AirCase Office Sling Messenger Bag fits upto 14.1"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue",729,4.0 out of 5 stars,"1,750"
/Arctic-Fox-Anti-Theft-Backpack-Charging/dp/B089Q9TM16,Arctic Fox Alarm Zipper System | Anti-Theft Backpack with USB Charging Port | 15.5 Inch Laptop Bag (Camo Black),"1,899",4.3 out of 5 stars,398
/Amazon-Brand-Reusable-Eco-Friendly-Multi-Purpose/dp/B08TTMMGYT,"Amazon Brand – Eono Reusable Tote Bags, 100% Organic Cotton Shopping/Grocery Bag, Multi-Purpose Bag, Sturdy Canvas Bag With 15kgs Capacity, Single Pack (Good Vibes)",179,3.8 out of 5 stars,"1,232"
/Wildcraft-Music-Backpack-Green-11954/dp/B07N2SBX54,Wildcraft Unisex Zip Closure Backpack (Green_Free Size),"1,019",4.4 out of 5 stars,384
/American-Tourister-Backpack-Organizer-Compatible/dp/B0C8649NY8,American Tourister Shaw Large Size Unisex Laptop Backpack with Organizer Pockets| Compatible with 17 inch Laptop - Teal,"1,149",3.2 out of 5 stars,19
/American-Tourister-Harp-Duffle-Grey/dp/B0BTHP5LS1,American Tourister Harp Duffle Bag 52 CM Grey,"1,099",4.0 out of 5 stars,35
/Amazon-Basics-Messenger-Shoulder-MacBook/dp/B00DUGZFWY,"Amazon Basics Messenger Laptop Bag with Handle & Shoulder Strap fits upto 15.6"" Laptop / MacBook for Men & Women (Black)",729,4.2 out of 5 stars,"50,142"
/Business-Casual-Compartment-Resistant-Backpack/dp/B08N6HSJJ5,URBAN WOLF 30L Casual Dual Compartment Water Resistant Laptop Backpack Unisex Bags for Office/Travel/Business/College/School (Black),749,3.9 out of 5 stars,"1,016"
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=dMe42&content-id=amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066:amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_p=1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_r=8YVJ69GRCD291JD910JX&pd_rd_wg=XdinJ&pd_rd_r=d4053c21-92b5-48e4-b00c-06a6c5da54bd&qid=1697645095,N/A,N/A,N/A,"
                                                    bags for girls
                                                "
/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or 
/Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWKDG6R,Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,320,3.8 out of 5 stars,"1,859"
/Wesley-Anti-Theft-backpack-Executive-Waterproof/dp/B08K7PCPJV,Wesley Zenith 16 inch Anti-Theft Backpack with USB Charging Executive Business Office Casual Waterproof Laptop/Office/School/College/Business Bag/Travel Backpack,799,4.0 out of 5 stars,88
/Adjustable-Waterproof-Breathable-Anti-Shock-Compatible/dp/B0C58X3CRX,"Amazon Basics Classic Camera Shoulder Bag, Adjustable Strap, Waterproof material, Breathable Mesh, Anti-Shock, Compatible with Nikon, Canon and Sony Mirrorless Cameras",549,3.6 out of 5 stars,6
/Cockatoo-OXO-Biodegradable-Companion-Campaigning-Adventures/dp/B0CF9Q8HPN,"Cockatoo CMP01 OXO-Biodegradable Garbage Bags Medium|Your Ultimate Companion for Campaigning and Traveling|for Keeping Your Adventures Clean and Green,30 Bags/Rollx3,(18.5 X 20.5 Inch)",99,4.8 out of 5 stars,141
/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",398,3.5 out of 5 stars,30
/COSMUS-Polyester-Black-School-Backpack/dp/B078MFYJ3M,COSMUS Heavy Duty School Bag Norwich 33L waterproof Backpacks Bag With laptop compartment,"1,196",4.2 out of 5 stars,434
/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM,Nivia String Bag Polyester Made for Men Waterproof/Drawstring Backpack (Black),156,4.1 out of 5 stars,"1,980"
/Paarsv-Tamper-Courier-Without-Jacket/dp/B018E1O6LU,SECUREMENT® Tamper Proof Courier Bags with Pod Jacket documen pouch 10x 14 (100 Pcs),325,4.1 out of 5 stars,314
/POLESTAR-Backpack-Compartment-Polyester-Warranty/dp/B0BMQ2HXYP,"POLESTAR Bold 42 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",729,3.8 out of 5 stars,"2,000"
/Red-Lemon-Waterproof-Capacity-Comfortable/dp/B0C53MVJ2C,Red Lemon Swiss Design 40 L Oxford Waterproof Large Capacity Comfortable Business Fashion Travel Men Laptop Backpack Anti theft Computer Bag with rain cover,"1,599",3.3 out of 5 stars,451
/NIVIA-Polyester-Shoulder-Compartment-Accessories/dp/B07NJGW3WX,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue),489,4.0 out of 5 stars,144
/Professional-Photographers-Waterproof-Lightweight-Accessories/dp/B0C58VVFQT,"Amazon Basics Camera Bag with Tripod Holder for Beginner and Professional Photographers, Waterproof Cover, Lightweight, Removable Dividers for All DSLR/SLR Cameras and Accessories",949,4.3 out of 5 stars,997
/DAHSHA-Bag-Business-Messenger-Shoulder/dp/B07GCLJTZF,DAHSHA Stylish Nylon Small Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),695,3.9 out of 5 stars,475
/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Medium Water Restant Office Laptop Bag/Backpack for Men/Women (Black),995,4.3 out of 5 stars,"6,587"
/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ,"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",539,4.3 out of 5 stars,208
/DOUBLE-BAGS-Cotton-Shopping-Multicolour/dp/B07FKQLPDR,"DOUBLE R BAGS Multicolour Canvas Shopping Bag with Double Handle, Cloth Grocery Tote Bags, Reusable Shopping Grocery Bags,Foldable and Eco Friendly Washable Medium (Set of 6) (Dd-0101)",493,4.3 out of 5 stars,"1,106"
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=sZEWw&content-id=amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066:amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_p=1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_r=3H7CMETJJ4YS64CXZAQ6&pd_rd_wg=Ht7rk&pd_rd_r=a8a64ae6-35f2-49b7-b1e0-77941b566517&qid=1697645097,N/A,N/A,N/A,"
                                                    bags for girls
                                                "
/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or 
/DAHSHA-Bag-Business-Messenger-Shoulder/dp/B07GCLJTZF,DAHSHA Stylish Nylon Small Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),695,3.9 out of 5 stars,475
/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Medium Water Restant Office Laptop Bag/Backpack for Men/Women (Black),995,4.3 out of 5 stars,"6,587"
/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ,"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",539,4.3 out of 5 stars,208
/Black-Orange-Casual-Backpack-BKPCARYON0106/dp/B019HA8AQO,Gear CarryOn 16L Foldable Water Resistant School Bag/Hiking Daypack/Backpack/College Bag for Men/Women (Black-Orange),229,3.8 out of 5 stars,"5,625"
/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D3YR7T,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook",349,4.0 out of 5 stars,176
